I think that I would like to use this system frequently.,I found the system unnecessarily complex.,I thought the system was easy to use.,I think that I would need the support of a technical person to be able to use this system.,I found the various functions in this system were well integrated.,I thought there was too much inconsistency in this system.,I would imagine that most people would learn to use this system very quickly.,I found the system very cumbersome to use.,I felt very confident using the system.,I needed to learn a lot of things before I could get going with this system.,What do you like most about the system?,What challenges have you faced while using the system?,Are there any features you think should be added or improved?,"How would you rate your overall experience with the system on a scale of 1 to 10 (1 = Very Poor, 10 = Excellent)?",
4,3,3,4,4,2,2,2,4,5,I like the idea of the game.,Understanding what the things do because i didnt play the tutorial,The ui should be more colorful ig cause its kinda hard what is happening,8,52.5
4,4,4,4,4,4,4,4,4,4,The UI and how the game operates,"Slow loading time, unclear instructions for first timers",Tutorial mode or practice mode (with COMP as opponent),9,50
4,4,3,4,5,2,2,3,3,4,everything is well integrated. nice ui. nice game concept.,i had a hard time understanding how the game works.,none,9,50
4,2,3,2,4,2,4,3,3,3,"Easy to understand, intuitive.",Due to the popup blocking the cards it was hard to use.,no,8,65
2,4,3,5,3,3,2,4,2,4,The UI is very clean and interactive. The animations look cool.,I found it a bit complex and I think one would need some time to study the rules of this game.,The pop-up modal of the card stats/details was a bit annoying on hover because it kept blocking our view.,5,30
4,4,5,3,3,3,3,3,2,3,the UI design and functionalites,its hard to understand the game itselff it takes time,none,5,52.5
3,2,4,4,5,3,3,5,2,5,The ui and animation and how they come up with the idea,The challenges are playing the game,Maybe make it more easier to use,8,45
4,2,4,2,3,2,4,2,4,4,"The lobby feature wherein friends can interact with each other, as well as presenting tutorials for the users' clarity on functions/features on the gameplay.","The tutorial has a bug, wherein it suddenly stops and the explanation card was blocking the view of the important details.","Improved with the message/explanation card during tutorial, since it blocks the detail/feature being explained.",8,67.5
4,4,3,5,3,3,2,3,2,5,"I like the ui/ux design of the system, and the idea about making a game out of cybersecurity topics",i find it difficult to understand the game because of the concepts. For me I need to learn first about the concepts,i think the hovering of the cards could be improved,6,35
3,3,3,3,3,2,4,3,4,4,Its UI design and the instructions are detailed and tutorials are provided properly.,no challenges,nothing,8,55
4,4,2,5,5,3,3,5,3,5,"I like the idea of the system, educational and fun.",I need a techincal person to understand the game.,"Not user friendly, users needs to understand the game well first.",7,37.5
3,4,3,4,3,3,3,3,3,3,Its good for familiarizing the solutions of any vulnerabilities of a systems,its confusing because you cant see the card id you selected it or not,i want to add something like when you select a card i will go rise or something,7,45
4,3,4,3,5,2,4,3,4,5,The different color schema implemented and well contained features that structured very well.,Bug when finishing the game. being confirmed by only refreshing the game.,"No, i don't think so.",9,62.5
3,2,3,5,4,2,4,3,4,4,The UI and functionality.,"Hard to navigate, since I newly discover it.",none so far.,8,55
4,4,3,4,4,3,5,4,4,4,"I like the system’s user-friendly interface and easy navigation, which makes completing tasks quick and efficient","Sometimes the system experiences slow loading times, and certain features are not intuitive, which can be confusing at first.",“I think improving the reporting tools and adding more customization options for the dashboard would make the system more efficient and user-friendly,7,52.5
4,4,4,4,5,1,1,5,2,5,"I really like the UI of this system, i am impressed how it look. Also the concept of this app, and its also fun somehow if you slowly understand it.",I have some difficulties in navigating and understanding on how the game works. Its not that kinda userfriendly specially for a non IT person.,N/A,7,42.5
4,4,3,4,5,2,2,4,4,4,The Mechanics,The Complexity of learning the mechanics,Improved the tutorial,9,50
5,3,5,4,4,3,2,3,4,5,card game about cyber security,Card details and its uses,none,9,55
4,4,3,5,3,3,2,3,3,5,"Except from having fun, it will also let you learn about cybersecurity that can support your studies","The ui interaction is kind of hard to understand at first, for personal preference, when hovering cards it was too big of a zoom","the highlight feature when you pick your cards, its harder to see which enemy cards can be attacked",7,37.5
4,4,5,4,4,4,4,4,4,3,what i like the most about the system is how you think critical before you take a move,the logic of the game and how does it work,maybe a groupie play not just 1v1 for friends game,10,55
3,3,3,3,3,3,3,3,3,3,I like the frontend design so much and also how clean it is.,I don't really understand the gameplay.,None because for now I still need more time to get used by the gameplay.,7,50
3,4,2,2,4,2,3,4,4,4,This is an enjoyable card game against your opponents,"Details of the card covers the card itself, making it confusing at first",Visual indicators when if it is my turn or my opponents turn,8,50
3,3,4,2,3,2,3,3,4,5,It teaches its users about cyber security which is quite important especially these days,"I got a glitch with the honeypot, it wouldn't let me discard a card.",Glitches definitely,6,55
4,4,4,4,4,3,3,3,4,4,Its design and concept,confusion on how the game works,none,9,52.5
3,3,4,5,4,2,2,4,3,5,I like the consistency of the UI in the system. This game can help students to learn more about security and cyberattack. The flow of the system is good and easy to use.,"I think one of the challenges I faced during the system, is it's kind of confusing to use since it has much information displayed when playing the game. It's kind of confusing to make strategy and play the game especially when you don't watch tutorials.",Overall the system is good. None so far.,8,42.5
4,3,4,3,5,2,4,2,5,4,"The tutorial part as it provided the exact information needed before starting the game, also helps a lot with how to play it",Choosing the exact cards and understanding the game logic as defender/attacker,Nothing else,10,70
4,2,2,2,2,2,4,3,4,5,How unique the gameplay is,Since I was not able to play the tutorial it was really hard for me to understand how things work and also what confused me was that I was not able to see the quick tips on what to do as a attacker and defender,If only there is a way to have a 2v2 match,8,55
4,3,4,4,5,4,4,3,4,5,The theme and the real time integration,The UI is a bit tricky to navigate,So far all good just adjust the UI a little bit,9,55
,,,,,,,,,,,,,Average SUS Score,50.89285714
